Categoria,Nutriente/Substância Bioativa/Enzima,0 a 6 meses,7 a 11 meses,1 a 3 anos,4 a 8 anos ,9 a 18 anos,Maiores 19 anos ,Lactantes,Gestantes ,Observações
Lipídeos, Fonte de lipídeos,Não autorizado,Não autorizado,Não autorizado,Não autorizado,Não autorizado,"Mínimo: 5g

Máximo: não estabelecido",Não autorizado,Não autorizado,
Lipídeos," Lipídeos
Ácido linoleico n-6
Ácido  alfa-linolênico n-3",Não autorizado,Não autorizado,Não autorizado,"Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,5 g 
Máximo: 15 g

Ácido alfa-linolênico n-3: 

Mínimo: 0,135 g
Máximo: 1,35 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 2,4 g 
Máximo: 24 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g  
Máximo: 2,4 g","Lipídeos: 
Mínimo: 5 g 
Máximo: Não estabelecido

Ácido Linoleico n-6: 
Mínimo: 2,55 g 
Máximo: 25,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g 
Máximo: 2,4 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,195 g 
Máximo: 1,95 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,21 g 
Máximo: 2,1 g",
Lipídeos," Lipídeos
Ácido linoleico n-6
Ácido  alfa-linolênico n-3",Não autorizado,Não autorizado,Não autorizado,"Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,5 g 
Máximo: 15 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,135 
Máximo: 1,35g","Lipídeos: 
Mínimo: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 2,4 g 
Máximo: 24 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g   
Máximo: 2,4 g","Lipídeos: 
Mínimo: 5 g 
Máximo: Não estabelecido

Ácido Linoleico n-6: 
Mínimo: 2,55 g 
Máximo: 25,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g 
Máximo: 2,4 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,195 g 
Máximo: 1,95 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,21 g 
Máximo: 2,1 g",
Lipídeos," Lipídeos
Ácido linoleico n-6
Ácido  alfa-linolênico n-3",Não autorizado,Não autorizado,Não autorizado,"Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,5 g 
Máximo: 15 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,135 g
Máximo: 1,35 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 2,4 g 
Máximo: 24 g 

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g  
Máximo: 2,4 g","Lipídeos: 
Mínimo: 5 g 
Máximo: Não estabelecido

Ácido Linoleico n-6: 
Mínimo: 2,55 g 
Máximo: 25,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g 
Máximo: 2,4 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,195 g 
Máximo: 1,95 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,21 g 
Máximo: 2,1 g",
Lipídeos," Lipídeos
Ácido linoleico n-6
Ácido  alfa-linolênico n-3",Não autorizado,Não autorizado,Não autorizado,"Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,5 g 
Máximo: 15 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,135 g
Máximo: 1,35 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 2,4 g 
Máximo: 24 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g  
Máxima: 2,4 g","Lipídeos: 
Mínimo: 5 g 
Máximo: Não estabelecido

Ácido Linoleico n-6: 
Mínimo: 2,55 g 
Máximo: 25,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g 
Máximo: 2,4 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,195 g
Máximo: 1,95 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,21 g 
Máximo: 2,1 g",
Lipídeos," Lipídeos
Ácido linoleico n-6
Ácido  alfa-linolênico n-3",Não autorizado,Não autorizado,Não autorizado,"Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,5 g 
Máximo: 15 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,135 g
Máximo: 1,35 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 2,4 g 
Máximo: 24 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g  
Máximo: 2, 4g","Lipídeos: 
Mínimo: 5 g 
Máximo: Não estabelecido

Ácido Linoleico n-6: 
Mínimo: 2,55 g 
Máximo: 25,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g 
Máximo: 2,4 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,195 g 
Máximo: 1,95 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,21 g 
Máximo: 2,1 g",
Lipídeos," Lipídeos
Ácido linoleico n-6
Ácido  alfa-linolênico n-3",Não autorizado,Não autorizado,Não autorizado,"Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,5 g 
Máximo: 15 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,135 g
Máximo: 1,35 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 2,4 g 
Máximo: 24 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g  
Máximo: 2,4 g","Lipídeos: 
Mínimo: 5 g 
Máximo: Não estabelecido

Ácido Linoleico n-6: 
Mínimo: 2,55 g 
Máximo: 25,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g 
Máximo: 2,4 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g  
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,195 g 
Máximo: 1,95 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,21 g 
Máximo: 2,1 g",
Lipídeos," Lipídeos
Ácido linoleico n-6
Ácido  alfa-linolênico n-3",Não autorizado,Não autorizado,Não autorizado,"Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,5 g 
Máximo: 15 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,135 g
Máximo: 1,35 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 2,4 g 
Máximo: 24 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g  
Máximo: 2,4 g","Lipídeos: 
Mínimo: 5 g 
Máximo: Não estabelecido

Ácido Linoleico n-6: 
Mínimo: 2,55 g 
Máximo: 25,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g 
Máximo: 2,4 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g  
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,195 g 
Máximo: 1,95 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,21 g 
Máximo: 2,1 g",
Lipídeos," Lipídeos
Ácido linoleico n-6
Ácido  alfa-linolênico n-3",Não autorizado,Não autorizado,Não autorizado,"Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,5 g 
Máximo: 15 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,135 g
Máximo: 1,35 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 2,4 g 
Máximo: 24 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g  
Máximo: 2,4 g","Lipídeos: 
Mínimo: 5 g 
Máximo: Não estabelecido

Ácido Linoleico n-6: 
Mínimo: 2,55 g 
Máximo: 25,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g 
Máximo: 2,4 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,195 g 
Máximo: 1,95 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,21 g 
Máximo: 2,1 g",
Lipídeos," Lipídeos
Ácido linoleico n-6
Ácido  alfa-linolênico n-3",Não autorizado,Não autorizado,Não autorizado,"Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,5 g 
Máximo: 15 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,135 g
Máximo: 1,35 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 2,4 g 
Máximo: 24 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g  
Máximo: 2,4 g","Lipídeos: 
Mínimo: 5 g 
Máximo: Não estabelecido

Ácido Linoleico n-6: 
Mínimo: 2,55 g 
Máximo: 25,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,24 g 
Máximo: 2,4 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,195 g 
Máximo: 1,95 g","Lipídeos: Não autorizado

Ácido Linoleico n-6: 
Mínimo: 1,95 g 
Máximo: 19,5 g

Ácido alfa-linolênico n-3: 
Mínimo: 0,21 g
Máximo: 2,1 g",
